directory ,level,type,LOC,description
cirq\cirq\__init__.py,3,import unused,49,'cirq.decompositions.single_qubit_op_to_framed_phase_form'
cirq\cirq\__init__.py,3,import unused,49,'cirq.decompositions.two_qubit_matrix_to_operations'
cirq\cirq\__init__.py,3,import unused,58,'cirq.devices.Device'
cirq\cirq\__init__.py,3,import unused,58,'cirq.devices.GridQubit'
cirq\cirq\__init__.py,3,import unused,58,'cirq.devices.UnconstrainedDevice'
cirq\cirq\__init__.py,3,import unused,64,'cirq.extension.can_cast'
cirq\cirq\__init__.py,3,import unused,64,'cirq.extension.cast'
cirq\cirq\__init__.py,3,import unused,64,'cirq.extension.Extensions'
cirq\cirq\__init__.py,3,import unused,64,'cirq.extension.PotentialImplementation'
cirq\cirq\__init__.py,3,import unused,64,'cirq.extension.try_cast'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.allclose_up_to_global_phase'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.bidiagonalize_real_matrix_pair_with_symmetric_products'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.bidiagonalize_unitary_with_special_orthogonals'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.block_diag'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.match_global_phase'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.commutes'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.CONTROL_TAG'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.diagonalize_real_symmetric_and_sorted_diagonal_matrices'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.diagonalize_real_symmetric_matrix'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.dot'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_diagonal'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_hermitian'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_orthogonal'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_special_orthogonal'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_special_unitary'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.is_unitary'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.kak_canonicalize_vector'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.kak_decomposition'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.kron'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.kron_factor_4x4_to_2x2s'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.kron_with_controls'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.map_eigenvalues'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.reflection_matrix_pow'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.so4_to_magic_su2s'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.targeted_left_multiply'
cirq\cirq\__init__.py,3,import unused,72,'cirq.linalg.Tolerance'
cirq\cirq\__init__.py,3,import unused,101,'cirq.line.AnnealSequenceSearchStrategy'
cirq\cirq\__init__.py,3,import unused,101,'cirq.line.GreedySequenceSearchStrategy'
cirq\cirq\__init__.py,3,import unused,101,'cirq.line.LinePlacementStrategy'
cirq\cirq\__init__.py,3,import unused,101,'cirq.line.LineQubit'
cirq\cirq\__init__.py,3,import unused,101,'cirq.line.line_on_device'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.BoundedEffect'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CCX'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CCZ'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.SingleQubitCliffordGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CNOT'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CNotGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CompositeGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CompositeOperation'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ControlledGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CSWAP'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.CZ'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.EigenGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ExtrapolatableEffect'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.flatten_op_tree'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.FREDKIN'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.freeze_op_tree'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Gate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.GateOperation'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.H'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.HGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.InterchangeableQubitsGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ISWAP'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ISwapGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.measure'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.measure_each'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.MeasurementGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.NamedQubit'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.OP_TREE'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Operation'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ParameterizableEffect'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Pauli'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.PauliInteractionGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.PauliString'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.PauliTransform'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.PhaseableEffect'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QasmConvertibleGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QasmConvertibleOperation'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QasmOutputArgs'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QubitId'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QubitOrder'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.QubitOrderOrList'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ReversibleCompositeGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.ReversibleEffect'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Rot11Gate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.RotXGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.RotYGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.RotZGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.S'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.SingleQubitGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.SingleQubitMatrixGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.SWAP'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.SwapGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.T'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TextDiagrammable'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TextDiagramInfo'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TextDiagramInfoArgs'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TOFFOLI'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.transform_op_tree'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TwoQubitGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.TwoQubitMatrixGate'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.X'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Y'
cirq\cirq\__init__.py,3,import unused,109,'cirq.ops.Z'
cirq\cirq\__init__.py,3,import unused,175,'cirq.schedules.Schedule'
cirq\cirq\__init__.py,3,import unused,175,'cirq.schedules.ScheduledOperation'
cirq\cirq\__init__.py,3,import unused,175,'cirq.schedules.moment_by_moment_schedule'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.Linspace'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.ParamResolver'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.plot_state_histogram'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.Points'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.Sweep'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.Sweepable'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.TrialResult'
cirq\cirq\__init__.py,3,import unused,181,'cirq.study.UnitSweep'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.canonicalize_half_turns'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.chosen_angle_to_canonical_half_turns'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.chosen_angle_to_half_turns'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.Duration'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.Symbol'
cirq\cirq\__init__.py,3,import unused,192,'cirq.value.Timestamp'
cirq\cirq\__init__.py,3,import unused,201,'cirq.protocols.inverse'
cirq\cirq\__init__.py,3,import unused,201,'cirq.protocols.SupportsUnitary'
cirq\cirq\__init__.py,3,import unused,201,'cirq.protocols.unitary'
cirq\cirq\__init__.py,3,import unused,208,'._version.__version__'
cirq\cirq\circuits\circuit.py,2,invalid syntax,145,redefinition of unused '__getitem__' from line 141
cirq\cirq\circuits\circuit.py,2,invalid syntax,149,redefinition of unused '__getitem__' from line 145
cirq\cirq\circuits\circuit.py,2,invalid syntax,162,redefinition of unused '__setitem__' from line 158
cirq\cirq\circuits\circuit.py,2,invalid syntax,166,redefinition of unused '__setitem__' from line 162
cirq\cirq\circuits\circuit_dag_test.py,1,undefined name,51,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,192,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,217,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,244,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,283,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,312,local variable '_' is assigned to but never used
cirq\cirq\circuits\circuit_test.py,1,undefined name,1356,local variable '_' is assigned to but never used
cirq\cirq\circuits\drop_negligible.py,3,import unused,24,'typing.List'
cirq\cirq\circuits\drop_negligible.py,3,import unused,24,'typing.Tuple'
cirq\cirq\circuits\moment_test.py,1,undefined name,40,local variable '_' is assigned to but never used
cirq\cirq\circuits\moment_test.py,1,undefined name,119,local variable '_' is assigned to but never used
cirq\cirq\circuits\optimization_pass.py,3,import unused,25,'cirq.ops.QubitId'
cirq\cirq\circuits\optimization_pass.py,3,import unused,26,'typing.Dict'
cirq\cirq\circuits\qasm_output.py,3,import unused,17,'typing.Set'
cirq\cirq\circuits\qasm_output_test.py,1,undefined name,163,local variable '_' is assigned to but never used
cirq\cirq\circuits\qasm_output_test.py,1,undefined name,192,local variable '_' is assigned to but never used
cirq\cirq\circuits\text_diagram_drawer.py,3,import unused,18,'typing.Tuple'
cirq\cirq\circuits\text_diagram_drawer.py,3,import unused,18,'typing.Dict'
cirq\cirq\circuits\__init__.py,3,import unused,17,'cirq.circuits.text_diagram_drawer.TextDiagramDrawer'
cirq\cirq\circuits\__init__.py,3,import unused,20,'cirq.circuits.qasm_output.QasmOutput'
cirq\cirq\circuits\__init__.py,3,import unused,23,'cirq.circuits.circuit.Circuit'
cirq\cirq\circuits\__init__.py,3,import unused,26,'cirq.circuits.circuit_dag.CircuitDag'
cirq\cirq\circuits\__init__.py,3,import unused,26,'cirq.circuits.circuit_dag.Unique'
cirq\cirq\circuits\__init__.py,3,import unused,30,'cirq.circuits.drop_empty_moments.DropEmptyMoments'
cirq\cirq\circuits\__init__.py,3,import unused,33,'cirq.circuits.drop_negligible.DropNegligible'
cirq\cirq\circuits\__init__.py,3,import unused,36,'cirq.circuits.merge_interactions.MergeInteractions'
cirq\cirq\circuits\__init__.py,3,import unused,39,'cirq.circuits.merge_single_qubit_gates.MergeSingleQubitGates'
cirq\cirq\circuits\__init__.py,3,import unused,42,'cirq.circuits.convert_to_cz_and_single_gates.ConvertToCzAndSingleGates'
cirq\cirq\circuits\__init__.py,3,import unused,45,'cirq.circuits.expand_composite.ExpandComposite'
cirq\cirq\circuits\__init__.py,3,import unused,48,'cirq.circuits.insert_strategy.InsertStrategy'
cirq\cirq\circuits\__init__.py,3,import unused,51,'cirq.circuits.moment.Moment'
cirq\cirq\circuits\__init__.py,3,import unused,54,'cirq.circuits.optimization_pass.OptimizationPass'
cirq\cirq\circuits\__init__.py,3,import unused,54,'cirq.circuits.optimization_pass.PointOptimizer'
cirq\cirq\circuits\__init__.py,3,import unused,54,'cirq.circuits.optimization_pass.PointOptimizationSummary'
cirq\cirq\contrib\__init__.py,3,import unused,21,'cirq.contrib.jobs'
cirq\cirq\contrib\__init__.py,3,import unused,22,'cirq.contrib.qcircuit.circuit_to_latex_using_qcircuit'
cirq\cirq\contrib\acquaintance\executor.py,3,import unused,32,'typing.Callable'
cirq\cirq\contrib\acquaintance\executor.py,3,import unused,32,'typing.List'
cirq\cirq\contrib\acquaintance\executor.py,3,import unused,32,'typing.DefaultDict'
cirq\cirq\contrib\acquaintance\strategy.py,3,import unused,31,'typing.Type'
cirq\cirq\contrib\acquaintance\strategy.py,3,import unused,31,'typing.Dict'
cirq\cirq\contrib\acquaintance\strategy.py,3,import unused,31,'typing.List'
cirq\cirq\contrib\acquaintance\strategy.py,3,import unused,32,'cirq.ops.Gate'
cirq\cirq\contrib\acquaintance\strategy_test.py,1,undefined name,39,local variable '_' is assigned to but never used
cirq\cirq\contrib\jobs\__init__.py,3,import unused,22,'cirq.contrib.jobs.job.Job'
cirq\cirq\contrib\jobs\__init__.py,3,import unused,25,'cirq.contrib.jobs.depolarizer_channel.DepolarizerChannel'
cirq\cirq\contrib\paulistring\convert_to_pauli_string_phasors.py,3,import unused,29,'typing.List'
cirq\cirq\contrib\paulistring\pauli_string_phasor_test.py,1,undefined name,108,local variable '_' is assigned to but never used
cirq\cirq\contrib\paulistring\pauli_string_raw_types_test.py,1,undefined name,48,local variable '_' is assigned to but never used
cirq\cirq\contrib\paulistring\pauli_string_raw_types_test.py,1,undefined name,67,local variable '_' is assigned to but never used
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,15,'cirq.contrib.paulistring.pauli_string_raw_types.PauliStringGateOperation'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,18,'cirq.contrib.paulistring.pauli_string_phasor.PauliStringPhasor'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,21,'cirq.contrib.paulistring.convert_to_pauli_string_phasors.ConvertToPauliStringPhasors'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,24,'cirq.contrib.paulistring.convert_to_clifford_gates.ConvertToSingleQubitCliffordGates'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,27,'cirq.contrib.paulistring.convert_gate_set.converted_gate_set'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,30,'cirq.contrib.paulistring.separate.convert_and_separate_circuit'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,30,'cirq.contrib.paulistring.separate.regular_half'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,30,'cirq.contrib.paulistring.separate.pauli_string_half'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,35,'cirq.contrib.paulistring.pauli_string_dag.pauli_string_reorder_pred'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,35,'cirq.contrib.paulistring.pauli_string_dag.pauli_string_dag_from_circuit'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,39,'cirq.contrib.paulistring.recombine.move_pauli_strings_into_circuit'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,42,'cirq.contrib.paulistring.pauli_string_optimize.pauli_string_optimized_circuit'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,45,'cirq.contrib.paulistring.clifford_optimize.clifford_optimized_circuit'
cirq\cirq\contrib\paulistring\__init__.py,3,import unused,48,'cirq.contrib.paulistring.optimize.optimized_circuit'
cirq\cirq\contrib\qcircuit\__init__.py,3,import unused,17,'cirq.contrib.qcircuit.qcircuit_diagram.circuit_to_latex_using_qcircuit'
cirq\cirq\contrib\qcircuit\__init__.py,3,import unused,19,'cirq.contrib.qcircuit.qcircuit_diagrammable.QCircuitDiagrammable'
cirq\cirq\contrib\qcircuit\__init__.py,3,import unused,19,'cirq.contrib.qcircuit.qcircuit_diagrammable.fallback_qcircuit_extensions'
cirq\cirq\contrib\quirk\export_to_quirk_test.py,1,undefined name,153,local variable '_' is assigned to but never used
cirq\cirq\contrib\quirk\__init__.py,3,import unused,17,'cirq.contrib.quirk.export_to_quirk.circuit_to_quirk_url'
cirq\cirq\devices\__init__.py,3,import unused,15,'cirq.devices.device.Device'
cirq\cirq\devices\__init__.py,3,import unused,18,'cirq.devices.grid_qubit.GridQubit'
cirq\cirq\devices\__init__.py,3,import unused,21,'cirq.devices.unconstrained_device.UnconstrainedDevice'
cirq\cirq\extension\cast_test.py,1,undefined name,67,local variable '_' is assigned to but never used
cirq\cirq\extension\extensions_test.py,1,undefined name,72,local variable '_' is assigned to but never used
cirq\cirq\extension\extensions_test.py,1,undefined name,94,local variable '_' is assigned to but never used
cirq\cirq\extension\__init__.py,3,import unused,17,'cirq.extension.cast.can_cast'
cirq\cirq\extension\__init__.py,3,import unused,17,'cirq.extension.cast.cast'
cirq\cirq\extension\__init__.py,3,import unused,17,'cirq.extension.cast.try_cast'
cirq\cirq\extension\__init__.py,3,import unused,22,'cirq.extension.extensions.Extensions'
cirq\cirq\extension\__init__.py,3,import unused,25,'cirq.extension.potential_implementation.PotentialImplementation'
cirq\cirq\google\eject_full_w.py,3,import unused,25,'typing.Dict'
cirq\cirq\google\eject_full_w.py,3,import unused,25,'typing.List'
cirq\cirq\google\eject_full_w.py,3,import unused,25,'typing.Tuple'
cirq\cirq\google\eject_z.py,3,import unused,27,'typing.Dict'
cirq\cirq\google\eject_z.py,3,import unused,27,'typing.List'
cirq\cirq\google\eject_z.py,3,import unused,27,'typing.Tuple'
cirq\cirq\google\programs.py,3,import unused,25,'typing.Optional'
cirq\cirq\google\xmon_device.py,3,import unused,29,'typing.Set'
cirq\cirq\google\xmon_device_test.py,1,undefined name,55,local variable '_' is assigned to but never used
cirq\cirq\google\__init__.py,3,import unused,15,'cirq.google.convert_to_xmon_gates.ConvertToXmonGates'
cirq\cirq\google\__init__.py,3,import unused,18,'cirq.google.decompositions.controlled_op_to_native_gates'
cirq\cirq\google\__init__.py,3,import unused,18,'cirq.google.decompositions.single_qubit_matrix_to_native_gates'
cirq\cirq\google\__init__.py,3,import unused,22,'cirq.google.eject_full_w.EjectFullW'
cirq\cirq\google\__init__.py,3,import unused,25,'cirq.google.eject_z.EjectZ'
cirq\cirq\google\__init__.py,3,import unused,28,'cirq.google.known_devices.Bristlecone'
cirq\cirq\google\__init__.py,3,import unused,28,'cirq.google.known_devices.Foxtail'
cirq\cirq\google\__init__.py,3,import unused,32,'cirq.google.merge_rotations.MergeRotations'
cirq\cirq\google\__init__.py,3,import unused,35,'cirq.google.xmon_device.XmonDevice'
cirq\cirq\google\__init__.py,3,import unused,38,'cirq.google.xmon_gate_extensions.xmon_gate_ext'
cirq\cirq\google\__init__.py,3,import unused,41,'cirq.google.optimize.optimized_for_xmon'
cirq\cirq\google\__init__.py,3,import unused,44,'cirq.google.xmon_gates.Exp11Gate'
cirq\cirq\google\__init__.py,3,import unused,44,'cirq.google.xmon_gates.ExpWGate'
cirq\cirq\google\__init__.py,3,import unused,44,'cirq.google.xmon_gates.ExpZGate'
cirq\cirq\google\__init__.py,3,import unused,44,'cirq.google.xmon_gates.XmonGate'
cirq\cirq\google\__init__.py,3,import unused,44,'cirq.google.xmon_gates.XmonMeasurementGate'
cirq\cirq\google\__init__.py,3,import unused,51,'cirq.google.sim.XmonOptions'
cirq\cirq\google\__init__.py,3,import unused,51,'cirq.google.sim.XmonSimulator'
cirq\cirq\google\__init__.py,3,import unused,51,'cirq.google.sim.XmonStepResult'
cirq\cirq\google\__init__.py,3,import unused,51,'cirq.google.sim.XmonSimulateTrialResult'
cirq\cirq\google\__init__.py,3,import unused,57,'cirq.google.engine.engine_from_environment'
cirq\cirq\google\__init__.py,3,import unused,57,'cirq.google.engine.Engine'
cirq\cirq\google\__init__.py,3,import unused,57,'cirq.google.engine.JobConfig'
cirq\cirq\google\engine\engine.py,3,import unused,47,'typing.Any'
cirq\cirq\google\engine\engine_test.py,1,undefined name,426,local variable '_' is assigned to but never used
cirq\cirq\google\engine\engine_test.py,1,undefined name,466,local variable '_' is assigned to but never used
cirq\cirq\google\engine\env_config_test.py,1,undefined name,45,local variable '_' is assigned to but never used
cirq\cirq\google\engine\__init__.py,3,import unused,18,'cirq.google.engine.engine.Engine'
cirq\cirq\google\engine\__init__.py,3,import unused,18,'cirq.google.engine.engine.JobConfig'
cirq\cirq\google\engine\__init__.py,3,import unused,23,'cirq.google.engine.env_config.engine_from_environment'
cirq\cirq\google\sim\mem_manager.py,3,import unused,25,'typing.Any'
cirq\cirq\google\sim\mem_manager.py,3,import unused,25,'typing.Optional'
cirq\cirq\google\sim\mem_manager.py,3,import unused,25,'typing.Tuple'
cirq\cirq\google\sim\mem_manager.py,3,import unused,25,'typing.List'
cirq\cirq\google\sim\xmon_simulator_test.py,1,undefined name,283,local variable '_' is assigned to but never used
cirq\cirq\google\sim\xmon_simulator_test.py,1,undefined name,317,local variable '_' is assigned to but never used
cirq\cirq\google\sim\xmon_simulator_test.py,1,undefined name,407,local variable '_' is assigned to but never used
cirq\cirq\google\sim\xmon_simulator_test.py,1,undefined name,686,local variable '_' is assigned to but never used
cirq\cirq\google\sim\xmon_simulator_test.py,1,undefined name,697,local variable '_' is assigned to but never used
cirq\cirq\google\sim\xmon_stepper_test.py,1,undefined name,800,local variable '_' is assigned to but never used
cirq\cirq\google\sim\__init__.py,3,import unused,18,'cirq.google.sim.xmon_simulator.XmonOptions'
cirq\cirq\google\sim\__init__.py,3,import unused,18,'cirq.google.sim.xmon_simulator.XmonSimulator'
cirq\cirq\google\sim\__init__.py,3,import unused,18,'cirq.google.sim.xmon_simulator.XmonStepResult'
cirq\cirq\google\sim\__init__.py,3,import unused,18,'cirq.google.sim.xmon_simulator.XmonSimulateTrialResult'
cirq\cirq\google\sim\__init__.py,3,import unused,24,'cirq.google.sim.xmon_stepper.Stepper'
cirq\cirq\linalg\decompositions.py,3,import unused,18,'typing.Set'
cirq\cirq\linalg\decompositions_test.py,1,undefined name,108,local variable '_' is assigned to but never used
cirq\cirq\linalg\diagonalize_test.py,1,undefined name,158,local variable '_' is assigned to but never used
cirq\cirq\linalg\__init__.py,3,import unused,21,'cirq.linalg.combinators.block_diag'
cirq\cirq\linalg\__init__.py,3,import unused,21,'cirq.linalg.combinators.CONTROL_TAG'
cirq\cirq\linalg\__init__.py,3,import unused,21,'cirq.linalg.combinators.dot'
cirq\cirq\linalg\__init__.py,3,import unused,21,'cirq.linalg.combinators.kron'
cirq\cirq\linalg\__init__.py,3,import unused,21,'cirq.linalg.combinators.kron_with_controls'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.deconstruct_single_qubit_matrix_into_angles'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.kak_canonicalize_vector'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.kak_decomposition'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.kron_factor_4x4_to_2x2s'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.map_eigenvalues'
cirq\cirq\linalg\__init__.py,3,import unused,28,'cirq.linalg.decompositions.so4_to_magic_su2s'
cirq\cirq\linalg\__init__.py,3,import unused,36,'cirq.linalg.diagonalize.bidiagonalize_real_matrix_pair_with_symmetric_products'
cirq\cirq\linalg\__init__.py,3,import unused,36,'cirq.linalg.diagonalize.bidiagonalize_unitary_with_special_orthogonals'
cirq\cirq\linalg\__init__.py,3,import unused,36,'cirq.linalg.diagonalize.diagonalize_real_symmetric_and_sorted_diagonal_matrices'
cirq\cirq\linalg\__init__.py,3,import unused,36,'cirq.linalg.diagonalize.diagonalize_real_symmetric_matrix'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.allclose_up_to_global_phase'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.commutes'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.is_diagonal'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.is_hermitian'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.is_orthogonal'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.is_special_orthogonal'
cirq\cirq\linalg\__init__.py,3,import unused,42,'cirq.linalg.predicates.is_special_unitary'
